feature,chrome,firefox,webkitgtk
aspect-ratio,0.9746893695352048,0.9828092243186584,0.9519276448866877
css-flexbox,0.9635370463658071,0.9794833385892988,0.9123639148615497
css-grid,0.9753867978111039,0.8985150783827328,0.9574366536332958
css-transforms,0.9443160171285744,0.9643989222191103,0.8065111970485842
position-sticky,0.9767441860465116,0.872093023255814,0.9534883720930233
