sha,date,chrome-version,chrome,firefox-version,firefox,safari-version,safari,webkitgtk-version,webkitgtk
4a325108cda1a048b307fe9683d553637d1d3295,2021-06-14,91.0.4472.101,0.9433330742858139,89.0,0.9073842579836197,14.1.1 (15611.2.7.1.6),0.9159776464083047,2.32.1 (r277260),0.9261402480343209
eff766e5c8c39be7b9bff064bce3a18eb2953ac5,2021-06-20,91.0.4472.114,0.9423828050428618,89.0.1,0.9062756105335088,14.1.1 (15611.2.7.1.6),0.9150273771653524,2.32.1 (r277260),0.9251899787913687
9e11b662c7204cf561801314bec46ec36220ebc6,2021-06-27,91.0.4472.114,0.9423828050428618,89.0.2,0.9007323732829545,14.1.1 (15611.2.7.1.6),0.9150273771653524,2.32.1 (r277260),0.9251899787913687
9e11b662c7204cf561801314bec46ec36220ebc6,2021-06-28,91.0.4472.114,0.9423828050428618,89.0.2,0.9007323732829545,14.1.1 (15611.2.7.1.6),0.9150273771653524,2.32.1 (r277260),0.9251899787913687
07a56dce8775820d3a42d4ac94beb39428f6a585,2021-07-04,91.0.4472.114,0.9434914524929726,89.0.2,0.8985150783827328,14.1.1 (15611.2.7.1.6),0.9139187297152416,2.32.1 (r277260),0.9240813313412578
eafef7e9e90735e4cc2e55d704e3cf6c3d0f8a2c,2021-07-18,91.0.4472.164,0.9434914524929726,90.0,0.897406430932622,14.1.1 (15611.2.7.1.6),0.9139187297152416,2.32.2 (r279777),0.9240813313412578
eafef7e9e90735e4cc2e55d704e3cf6c3d0f8a2c,2021-07-19,91.0.4472.164,0.9434914524929726,90.0,0.897406430932622,14.1.1 (15611.2.7.1.6),0.9139187297152416,2.32.2 (r279777),0.9240813313412578
e1ea3e0096713632e94cf2141bd72ab9db4a20b7,2021-07-25,92.0.4515.107,0.9462630711182498,90.0.2,0.897406430932622,14.1.1 (15611.2.7.1.6),0.9139187297152416,2.32.3 (r280241),0.922972683891147
e1ea3e0096713632e94cf2141bd72ab9db4a20b7,2021-07-26,92.0.4515.107,0.9462630711182498,90.0.2,0.897406430932622,14.1.1 (15611.2.7.1.6),0.9139187297152416,2.32.3 (r280241),0.922972683891147
9d70e4072a27327600e2ef9dacbc122a88d9336d,2021-08-01,92.0.4515.107,0.9462630711182498,90.0.2,0.8985150783827328,14.1.1 (15611.2.7.1.6),0.9150273771653524,2.32.3 (r280241),0.9240813313412578
9d70e4072a27327600e2ef9dacbc122a88d9336d,2021-08-02,92.0.4515.107,0.9462630711182498,90.0.2,0.8985150783827328,14.1.1 (15611.2.7.1.6),0.9150273771653524,2.32.3 (r280241),0.9240813313412578
fb2af6bc435f7cc810cfea0a4597e20b35808021,2021-08-08,92.0.4515.131,0.9462630711182498,90.0.2,0.8985150783827328,14.1.2 (15611.3.10.1.5),0.9150273771653524,2.32.3 (r280241),0.9240813313412578
0bc996384524028f8608c311d35ee7ebdf29afca,2021-08-15,92.0.4515.131,0.9462630711182498,91.0,0.8985150783827328,14.1.2 (15611.3.10.1.5),0.9139187297152416,2.32.3 (r280241),0.9240813313412578
12d47d0496819f751a77a1f10df033520eabdb3e,2021-08-22,92.0.4515.159,0.9462630711182498,91.0.1,0.8985150783827328,14.1.2 (15611.3.10.1.5),0.9150273771653524,2.32.3 (r280241),0.9240813313412578
be2c5bd43833b03f515ebc0283512926195eac50,2021-08-29,92.0.4515.159,0.9462630711182498,91.0.2,0.897406430932622,14.1.2 (15611.3.10.1.5),0.9150273771653524,2.32.3 (r280241),0.9240813313412578
6f5c3e77e657831191c9988ce933f7f40f4e6995,2021-09-05,93.0.4577.63,0.9753867978111039,91.0.2,0.8985150783827328,14.1.2 (15611.3.10.1.5),0.9150273771653524,2.32.3 (r280241),0.9240813313412578
6f5c3e77e657831191c9988ce933f7f40f4e6995,2021-09-06,93.0.4577.63,0.9753867978111039,91.0.2,0.8985150783827328,14.1.2 (15611.3.10.1.5),0.9150273771653524,2.32.3 (r280241),0.9240813313412578
43ef57c6f626b7af5fc3cd5cfbb442ee33607f16,2021-09-12,93.0.4577.63,0.9753867978111039,92.0,0.8985150783827328,14.1.2 (15611.3.10.1.5),0.9139187297152416,2.32.3 (r280241),0.9240813313412578
43ef57c6f626b7af5fc3cd5cfbb442ee33607f16,2021-09-13,93.0.4577.63,0.9753867978111039,92.0,0.8985150783827328,14.1.2 (15611.3.10.1.5),0.9139187297152416,2.32.3 (r280241),0.9240813313412578
