sha,date,chrome-version,chrome,firefox-version,firefox,webkitgtk-version,webkitgtk
132850c9a27382ba1bf1ad4c4ee4ed9d4f69666b,2020-12-20,87.0.4280.88,0.8409623672868703,84.0,0.8700366961956366,2.30.4 (r270836),0.7574091132909534
9c26c9eb197c1beeca8947c1195d9ca57decf20b,2020-12-27,87.0.4280.88,0.842980658046883,84.0.1,0.8721180585418996,2.30.4 (r270836),0.7594274040509661
9c26c9eb197c1beeca8947c1195d9ca57decf20b,2020-12-28,87.0.4280.88,0.842980658046883,84.0.1,0.8721180585418996,2.30.4 (r270836),0.7594274040509661
95b19d0b902505286b705a71fe44fc8aa8fb608e,2021-01-03,87.0.4280.88,0.842980658046883,84.0.1,0.8721180585418996,2.30.4 (r270836),0.7594274040509661
858930151c12292992391e926b5aede66a66b619,2021-01-10,87.0.4280.141,0.8439267318406389,84.0.2,0.8740102061294115,2.30.4 (r270836),0.760373477844722
858930151c12292992391e926b5aede66a66b619,2021-01-11,87.0.4280.141,0.8439267318406389,84.0.2,0.8740102061294115,2.30.4 (r270836),0.760373477844722
ab627b240b75423fbbae4dcd8841eaf165ba0d11,2021-01-24,88.0.4324.96,0.8918926731840638,84.0.2,0.9447134543161034,2.30.4 (r270836),0.7881249757948954
ab627b240b75423fbbae4dcd8841eaf165ba0d11,2021-01-25,88.0.4324.96,0.8918926731840638,84.0.2,0.9447134543161034,2.30.4 (r270836),0.7881249757948954
b0627d9c5b663cdea5b56e248aded1a01bf53aa7,2021-01-31,88.0.4324.96,0.8987517081887942,85.0,0.9570124136349303,2.30.4 (r270836),0.7959300845933817
b0627d9c5b663cdea5b56e248aded1a01bf53aa7,2021-02-01,88.0.4324.96,0.8987517081887942,85.0,0.9570124136349303,2.30.4 (r270836),0.7959300845933817
0927955f9b8dbd1d4a2cbcbfb92e2abbfb3dc53b,2021-02-07,88.0.4324.150,0.8987517081887942,85.0.1,0.9570124136349303,2.30.4 (r270836),0.7959300845933817
9b0d1ce0412c990e8d1e715c88ad37a6d88ebf0b,2021-02-14,88.0.4324.150,0.8996977819825501,85.0.2,0.9579584874286862,2.30.5 (r272717),0.7968761583871375
7af9d6ec48ab04043a2bea85a3599904a1a19efa,2021-02-21,88.0.4324.182,0.900643855776306,85.0.2,0.958904561222442,2.30.5 (r272717),0.7978222321808935
7af9d6ec48ab04043a2bea85a3599904a1a19efa,2021-02-22,88.0.4324.182,0.900643855776306,85.0.2,0.958904561222442,2.30.5 (r272717),0.7978222321808935
1277b8019d3085dd266266c792e87087a6376286,2021-02-28,88.0.4324.182,0.9034820771575738,86.0,0.9596614202574467,2.30.5 (r272717),0.7997143797684053
1277b8019d3085dd266266c792e87087a6376286,2021-03-01,88.0.4324.182,0.9034820771575738,86.0,0.9596614202574467,2.30.5 (r272717),0.7997143797684053
0f46f31799cccd7421a588d053d054138513ccdd,2021-03-07,89.0.4389.82,0.9034820771575738,86.0,0.9596614202574467,2.30.5 (r272717),0.8053908225309409
0f46f31799cccd7421a588d053d054138513ccdd,2021-03-08,89.0.4389.82,0.9034820771575738,86.0,0.9596614202574467,2.30.5 (r272717),0.8053908225309409
82c69ff8075f5c9b46c16a07fbbf317f555c9746,2021-03-14,89.0.4389.90,0.9053742247450857,86.0.1,0.9634457154324704,2.30.5 (r272717),0.8072829701184526
f850adcd8f3464f79b5252d284860ac53c81ceb0,2021-03-21,89.0.4389.90,0.9063202985388416,86.0.1,0.96817608440125,2.30.6 (r274643),0.8072829701184526
f850adcd8f3464f79b5252d284860ac53c81ceb0,2021-03-22,89.0.4389.90,0.9063202985388416,86.0.1,0.96817608440125,2.30.6 (r274643),0.8072829701184526
7e36f35854dce98ae6bb36365ac6bd8c1a972dfc,2021-03-28,89.0.4389.90,0.9101045937138652,87.0,0.9738525271637853,2.32.0 (r275090),0.883048045057456
d5182b54db27e81427b7a1b3140ba7bcb681454f,2021-04-04,89.0.4389.114,0.9101045937138652,87.0,0.9747986009575412,2.32.0 (r275090),0.8839941188512119
d5182b54db27e81427b7a1b3140ba7bcb681454f,2021-04-05,89.0.4389.114,0.9101045937138652,87.0,0.9747986009575412,2.32.0 (r275090),0.8839941188512119
647c99c923ecda0ef18afdbe00c3c6fdf1b6d3de,2021-04-11,89.0.4389.114,0.9080404327093069,87.0,0.9786689028410883,2.32.0 (r275090),0.8838221054341655
647c99c923ecda0ef18afdbe00c3c6fdf1b6d3de,2021-04-12,89.0.4389.114,0.9080404327093069,87.0,0.9786689028410883,2.32.0 (r275090),0.8838221054341655
d563ea8caf1afb598623e106e8e74296d4216eed,2021-04-18,90.0.4430.72,0.9115882094358916,87.0,0.9786689028410883,2.32.0 (r275090),0.8838221054341655
d563ea8caf1afb598623e106e8e74296d4216eed,2021-04-19,90.0.4430.72,0.9115882094358916,87.0,0.9786689028410883,2.32.0 (r275090),0.8838221054341655
6d29edded478dc80de91e2ccb90bfbdd804b25c7,2021-04-25,90.0.4430.85,0.9115882094358916,88.0,0.9805610504286001,2.32.0 (r275090),0.8838221054341655
b609eb7f53336e4cc9de98c255314a46c8576e89,2021-05-02,90.0.4430.93,0.9134803570234034,88.0,0.9815071242223561,2.32.0 (r275090),0.8838221054341655
bd445b11e5a91dc5f1ed22e66cd08e587a37bd47,2021-05-09,90.0.4430.93,0.9134803570234034,88.0.1,0.9815071242223561,2.32.0 (r275090),0.8838221054341655
bd445b11e5a91dc5f1ed22e66cd08e587a37bd47,2021-05-10,90.0.4430.93,0.9134803570234034,88.0.1,0.9815071242223561,2.32.0 (r275090),0.8838221054341655
07ae085a9b142aedd6a44ffc48be496a8d3a6fa9,2021-05-16,90.0.4430.212,0.9134803570234034,88.0.1,0.9815071242223561,2.32.1 (r277260),0.8835698190891638
07ae085a9b142aedd6a44ffc48be496a8d3a6fa9,2021-05-17,90.0.4430.212,0.9134803570234034,88.0.1,0.9815071242223561,2.32.1 (r277260),0.8835698190891638
637847dd0b481f5bb46e3a80b78f02a6f51cb6d6,2021-06-06,91.0.4472.77,0.9219950211672066,89.0,0.9846893724377167,2.32.1 (r277260),0.8845158928829198
637847dd0b481f5bb46e3a80b78f02a6f51cb6d6,2021-06-07,91.0.4472.77,0.9219950211672066,89.0,0.9846893724377167,2.32.1 (r277260),0.8845158928829198
4a325108cda1a048b307fe9683d553637d1d3295,2021-06-13,91.0.4472.101,0.9219950211672066,89.0,0.9846893724377167,2.32.1 (r277260),0.8845158928829198
4a325108cda1a048b307fe9683d553637d1d3295,2021-06-14,91.0.4472.101,0.9219950211672066,89.0,0.9846893724377167,2.32.1 (r277260),0.8845158928829198
eff766e5c8c39be7b9bff064bce3a18eb2953ac5,2021-06-20,91.0.4472.114,0.9360284491079194,89.0.1,0.9846893724377167,2.32.1 (r277260),0.8985493208236325
9e11b662c7204cf561801314bec46ec36220ebc6,2021-06-27,91.0.4472.114,0.9359496096251063,89.0.2,0.9836644591611479,2.32.1 (r277260),0.8984704813408194
9e11b662c7204cf561801314bec46ec36220ebc6,2021-06-28,91.0.4472.114,0.9359496096251063,89.0.2,0.9836644591611479,2.32.1 (r277260),0.8984704813408194
07a56dce8775820d3a42d4ac94beb39428f6a585,2021-07-04,91.0.4472.114,0.9359496096251063,89.0.2,0.9836644591611479,2.32.1 (r277260),0.8984704813408194
eafef7e9e90735e4cc2e55d704e3cf6c3d0f8a2c,2021-07-18,91.0.4472.164,0.9435857766747076,90.0,0.9836644591611479,2.32.2 (r279777),0.9046537493500099
eafef7e9e90735e4cc2e55d704e3cf6c3d0f8a2c,2021-07-19,91.0.4472.164,0.9435857766747076,90.0,0.9836644591611479,2.32.2 (r279777),0.9046537493500099
e1ea3e0096713632e94cf2141bd72ab9db4a20b7,2021-07-25,92.0.4515.107,0.9464239980559753,90.0.2,0.9836644591611479,2.32.3 (r280241),0.9046537493500099
e1ea3e0096713632e94cf2141bd72ab9db4a20b7,2021-07-26,92.0.4515.107,0.9464239980559753,90.0.2,0.9836644591611479,2.32.3 (r280241),0.9046537493500099
9d70e4072a27327600e2ef9dacbc122a88d9336d,2021-08-01,92.0.4515.107,0.9464239980559753,90.0.2,0.9836644591611479,2.32.3 (r280241),0.9046537493500099
9d70e4072a27327600e2ef9dacbc122a88d9336d,2021-08-02,92.0.4515.107,0.9464239980559753,90.0.2,0.9836644591611479,2.32.3 (r280241),0.9046537493500099
fb2af6bc435f7cc810cfea0a4597e20b35808021,2021-08-08,92.0.4515.131,0.9464239980559753,90.0.2,0.9836644591611479,2.32.3 (r280241),0.9046537493500099
0bc996384524028f8608c311d35ee7ebdf29afca,2021-08-15,92.0.4515.131,0.945359665038,91.0,0.9843083149374539,2.32.3 (r280241),0.9035894163320345
12d47d0496819f751a77a1f10df033520eabdb3e,2021-08-22,92.0.4515.159,0.945359665038,91.0.1,0.9843083149374539,2.32.3 (r280241),0.9035894163320345
be2c5bd43833b03f515ebc0283512926195eac50,2021-08-29,92.0.4515.159,0.945359665038,91.0.2,0.9843083149374539,2.32.3 (r280241),0.9035894163320345
6f5c3e77e657831191c9988ce933f7f40f4e6995,2021-09-05,93.0.4577.63,0.9644200485733126,91.0.2,0.9843083149374539,2.32.3 (r280241),0.9035894163320345
6f5c3e77e657831191c9988ce933f7f40f4e6995,2021-09-06,93.0.4577.63,0.9644200485733126,91.0.2,0.9843083149374539,2.32.3 (r280241),0.9035894163320345
43ef57c6f626b7af5fc3cd5cfbb442ee33607f16,2021-09-12,93.0.4577.63,0.9644200485733126,92.0,0.9843083149374539,2.32.3 (r280241),0.9035894163320345
43ef57c6f626b7af5fc3cd5cfbb442ee33607f16,2021-09-13,93.0.4577.63,0.9644200485733126,92.0,0.9843083149374539,2.32.3 (r280241),0.9035894163320345
b9a798a0c76f3a4a2356fe82d50e41d44dcfbdd8,2021-10-24,95.0.4638.54,0.9635370463658071,93.0,0.9794833385892988,2.34.0 (r282869),0.9123639148615497
b9a798a0c76f3a4a2356fe82d50e41d44dcfbdd8,2021-10-25,95.0.4638.54,0.9635370463658071,93.0,0.9794833385892988,2.34.0 (r282869),0.9123639148615497
