feature,chrome,firefox,webkitgtk
aspect-ratio,0.9935572940635067,0.9828092243186584,0.9645062612388889
css-flexbox,0.9664698751264504,0.9797855566067486,0.9367910146197753
css-grid,0.9773031741177243,0.8986998529577512,0.964592003174846
css-transforms,0.9718915343915344,0.9660876897575509,0.8555930639252518
position-sticky,1,0.872093023255814,0.9767441860465116
